CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Surname,Exited
536,28,4,0.0,1,1,1,136197.65,1,937,False,False,True,True,False,False,False,True,False,Gratwick,0
697,63,7,148368.02,1,0,0,118862.08,5,505,True,False,False,False,True,True,False,False,False,Peng,1
538,62,3,75051.49,1,0,0,17682.02,4,424,True,False,False,True,False,False,True,False,False,Carandini,1
731,35,2,127862.93,2,1,0,139083.7,1,561,False,True,False,False,True,False,False,True,False,Ferri,0
642,33,4,84607.34,2,0,1,60059.47,5,880,True,False,False,True,False,False,True,False,False,Udinesi,0
667,77,2,0.0,1,1,1,34702.92,4,965,False,False,True,False,True,True,False,False,False,Mazzanti,0
767,36,3,139180.2,1,0,0,123880.19,2,277,True,False,False,False,True,True,False,False,False,Johnstone,0
625,43,4,122351.29,1,1,0,71216.6,4,936,True,False,False,False,True,False,True,False,False,Ch'eng,0
593,38,5,142658.04,2,0,1,135337.11,1,698,False,True,False,True,False,False,True,False,False,Dalrymple,0
655,72,5,138089.97,2,1,1,99920.41,3,766,False,True,False,True,False,False,True,False,False,Alexeyeva,0
706,29,5,112564.62,1,1,0,42334.38,5,819,True,False,False,True,False,False,False,True,False,Feng,0
705,32,3,0.0,2,0,0,129576.99,2,789,True,False,False,False,True,True,False,False,False,Rossi,0
650,33,0,98064.97,1,1,0,52411.99,1,262,True,False,False,False,True,False,True,False,False,Ramsden,0
850,55,6,0.0,1,1,0,944.41,1,583,True,False,False,False,True,True,False,False,False,Bezrukova,1
694,38,5,195926.39,1,1,1,85522.84,1,270,True,False,False,True,False,True,False,False,False,Yuan,0
679,38,7,110555.37,2,1,0,46522.68,4,320,False,True,False,False,True,False,True,False,False,Golubev,0
849,69,7,71996.09,1,1,1,139065.94,2,317,True,False,False,False,True,False,True,False,False,Tomlinson,0
591,46,4,129269.27,1,1,0,163504.33,1,290,False,True,False,False,True,False,True,False,False,Pisani,0
724,45,5,83888.54,1,0,1,34121.81,3,559,False,False,True,False,True,False,False,False,True,K'ung,0
806,34,5,113958.55,1,0,1,32125.98,3,873,True,False,False,False,True,True,False,False,False,Sergeyev,0
588,64,3,0.0,1,1,1,189703.65,4,286,True,False,False,True,False,False,False,False,True,Steele,0
524,32,6,0.0,1,1,1,132861.9,4,373,False,False,True,True,False,False,False,True,False,Brown,1
591,39,8,0.0,2,0,0,42392.24,1,302,False,False,True,False,True,False,True,False,False,Ch'ang,0
773,34,10,126979.75,1,0,0,36823.28,1,977,False,True,False,False,True,False,False,True,False,Li Fonti,0
800,60,6,88541.57,2,1,1,131718.12,1,577,True,False,False,False,True,False,False,False,True,Uwakwe,0
532,24,8,142755.25,1,0,0,34231.48,1,699,False,True,False,False,True,True,False,False,False,Hung,0
705,39,6,133261.13,1,1,1,78065.9,4,344,False,False,True,False,True,False,True,False,False,Burns,0
808,67,10,124577.15,1,0,1,169894.4,5,259,False,False,True,True,False,False,True,False,False,Niu,0
540,44,3,164113.04,2,1,1,12120.79,5,778,False,True,False,False,True,False,False,False,True,Tsao,0
641,40,2,110086.69,1,1,0,159773.14,4,413,False,True,False,True,False,True,False,False,False,Thornton,0
666,36,4,120165.4,2,1,0,33701.5,4,617,True,False,False,False,True,False,True,False,False,Moran,0
667,40,9,0.0,1,1,1,96670.2,3,879,True,False,False,False,True,False,True,False,False,Biryukov,0
635,27,3,127009.83,1,1,0,161909.95,1,686,True,False,False,False,True,False,True,False,False,Hales,0
729,39,1,131513.26,1,1,1,193715.0,1,751,False,True,False,True,False,False,False,True,False,Chu,0
600,40,1,141136.79,1,1,1,67803.83,5,851,True,False,False,False,True,False,False,False,True,Ch'iu,0
637,60,3,0.0,2,1,1,70174.03,3,230,True,False,False,False,True,False,False,True,False,McIntosh,0
608,33,1,102772.67,2,1,0,70705.58,4,301,False,True,False,False,True,True,False,False,False,Ch'in,0
446,45,10,125191.69,1,1,1,128260.86,5,584,False,False,True,True,False,False,False,False,True,Enderby,1
654,32,9,121455.65,1,1,0,190068.53,2,295,True,False,False,False,True,False,True,False,False,Kang,1
693,34,10,107556.06,2,0,0,154631.35,5,711,False,False,True,True,False,True,False,False,False,Wade,0
850,58,8,156652.13,1,0,0,25899.21,3,451,True,False,False,False,True,False,False,True,False,Simpson,1
529,29,4,135759.4,1,0,0,112813.79,1,674,False,True,False,False,True,False,True,False,False,Chukwukadibia,1
639,37,5,151242.48,1,0,1,49637.65,3,776,False,True,False,True,False,False,True,False,False,Ferrari,0
647,43,3,122717.53,2,1,1,87000.39,2,323,False,True,False,True,False,False,False,True,False,Li Fonti,0
532,37,5,0.0,2,0,1,6761.84,5,527,False,False,True,True,False,True,False,False,False,She,0
850,40,6,0.0,1,1,0,136985.08,1,268,True,False,False,False,True,True,False,False,False,Woronoff,1
752,35,2,0.0,1,1,0,44335.54,4,309,False,False,True,True,False,False,False,True,False,Ch'en,1
645,36,4,59893.85,2,1,0,43999.64,5,420,False,False,True,False,True,True,False,False,False,Lombardo,0
695,28,0,96020.86,1,1,1,57992.49,2,865,False,False,True,False,True,False,False,False,True,Zaitsev,0
659,39,8,106259.63,2,1,1,198103.32,3,296,False,True,False,False,True,False,False,True,False,Zuyev,0
618,29,10,100315.1,2,1,1,32526.64,1,812,False,True,False,True,False,False,False,False,True,Roberts,0
548,38,0,178056.54,2,1,0,38434.73,5,427,False,False,True,False,True,False,False,False,True,Manfrin,0
525,26,7,153644.39,1,1,1,63197.88,1,988,True,False,False,False,True,False,False,False,True,McIntyre,0
708,32,3,151691.44,2,1,1,172810.51,5,463,False,True,False,False,True,False,False,False,True,Russell,0
634,48,2,107247.69,1,1,1,103712.05,5,674,False,True,False,False,True,False,True,False,False,Myers,1
619,52,8,124099.13,1,0,0,23904.52,1,621,False,True,False,True,False,False,False,False,True,Yusupova,0
523,73,7,0.0,2,0,0,130883.9,5,566,True,False,False,True,False,True,False,False,False,P'eng,1
571,40,5,0.0,2,0,0,72849.29,2,557,True,False,False,False,True,False,False,False,True,Johnston,0
666,37,2,158468.76,1,0,1,93266.01,3,630,False,True,False,True,False,True,False,False,False,Ulyanova,0
573,56,3,154669.77,1,0,1,115462.27,5,454,False,False,True,False,True,False,False,False,True,Logan,1
618,42,2,0.0,4,0,0,111097.39,5,398,True,False,False,True,False,False,False,True,False,Riley,1
641,35,5,0.0,2,1,0,93148.93,4,747,True,False,False,False,True,False,True,False,False,Bales,0
745,25,5,157993.15,2,1,0,146041.45,1,395,True,False,False,False,True,False,False,False,True,Harker,0
631,37,8,138292.64,2,0,0,152422.91,3,647,False,True,False,False,True,True,False,False,False,Burke,1
723,40,7,142856.95,2,0,0,38019.74,5,522,True,False,False,True,False,False,False,True,False,Palermo,0
520,46,10,85216.61,1,1,0,117369.52,1,669,True,False,False,True,False,False,True,False,False,Nucci,1
614,38,2,116248.88,1,1,0,105140.92,3,762,True,False,False,False,True,True,False,False,False,Gibbons,0
647,44,4,93960.35,1,1,0,36579.53,2,417,False,True,False,False,True,False,False,False,True,Pinto,1
734,43,3,55853.33,2,0,1,94811.85,1,263,False,False,True,True,False,False,False,True,False,Bottrill,1
598,59,8,118210.42,2,0,0,60192.14,4,622,False,True,False,False,True,True,False,False,False,Miller,1
650,23,4,93911.3,2,1,0,69055.45,5,774,False,True,False,False,True,False,False,True,False,Grant,0
562,33,8,92659.2,2,1,0,1354.25,2,374,False,True,False,False,True,False,True,False,False,Jideofor,0
548,33,6,0.0,1,1,1,31728.35,4,855,False,False,True,False,True,False,True,False,False,Heller,0
656,39,6,0.0,2,1,0,141069.88,4,638,True,False,False,True,False,True,False,False,False,Cameron,0
754,55,3,161608.81,1,1,0,8080.85,4,810,False,True,False,True,False,False,True,False,False,Ashbolt,1
713,42,0,109121.71,1,0,1,167873.49,5,872,False,False,True,False,True,False,True,False,False,Vasilyev,0
850,36,6,143644.16,1,1,0,22102.25,3,728,False,True,False,True,False,False,False,True,False,Su,1
713,38,6,116980.78,2,0,1,76038.38,3,503,False,False,True,False,True,False,True,False,False,Nnaemeka,0
710,22,8,0.0,3,1,0,107292.91,4,565,False,False,True,False,True,True,False,False,False,Calzada,0
794,62,9,123681.32,3,1,0,173586.63,5,247,True,False,False,True,False,False,False,False,True,Price,1
700,54,1,79415.67,1,0,1,139735.54,5,546,False,False,True,False,True,False,False,True,False,Pan,0
676,33,6,171490.78,1,0,0,79099.64,3,248,True,False,False,False,True,False,True,False,False,Martinez,0
661,32,1,145980.23,1,0,1,56636.28,3,883,False,True,False,True,False,True,False,False,False,Lamble,0
608,40,8,121729.42,1,0,0,61164.45,4,802,False,True,False,True,False,True,False,False,False,Henry,0
766,28,3,62717.84,2,1,1,13182.43,1,808,False,True,False,True,False,False,True,False,False,Wynne,0
688,29,9,144553.5,2,1,0,143454.95,4,270,False,True,False,False,True,False,False,False,True,Collier,0
764,33,9,168964.77,1,0,1,118982.51,2,915,False,False,True,True,False,False,True,False,False,Trevisani,0
800,40,3,75893.11,2,1,0,132562.23,5,513,True,False,False,True,False,False,False,True,False,Cyril,0
465,33,8,0.0,2,1,0,177668.55,4,507,True,False,False,False,True,True,False,False,False,Gorbunov,0
635,34,5,98683.47,2,1,0,15733.19,3,558,False,False,True,True,False,False,False,False,True,Mitchell,0
759,33,2,0.0,2,1,0,56583.88,1,428,True,False,False,True,False,False,False,False,True,Sherman,0
850,43,8,92244.83,2,1,0,54949.73,2,304,False,True,False,True,False,False,False,True,False,Wilson,0
728,43,5,0.0,1,1,1,120088.17,5,924,False,False,True,True,False,False,True,False,False,Grigoryeva,0
667,24,4,0.0,2,0,1,34335.55,5,560,True,False,False,True,False,True,False,False,False,Hanson,0
664,32,5,133705.74,1,0,0,134455.84,1,977,False,False,True,False,True,False,False,False,True,Robertson,0
651,35,7,74623.5,3,1,0,129451.29,2,515,True,False,False,False,True,False,False,False,True,Pai,1
453,28,3,139986.65,1,1,0,136846.75,2,816,False,True,False,True,False,False,True,False,False,Lucchese,0
735,46,2,106344.95,1,1,0,114371.33,4,287,False,True,False,False,True,True,False,False,False,Romani,1
713,44,1,63438.91,1,1,0,64375.4,5,658,True,False,False,False,True,False,True,False,False,Hunter,0
646,30,5,98014.74,1,1,1,12757.14,4,329,True,False,False,False,True,False,False,True,False,Moen,0
627,23,5,184244.86,1,1,0,103099.22,2,971,False,True,False,False,True,False,False,False,True,Soubeiran,0
654,29,2,91955.61,1,1,0,37065.66,2,375,True,False,False,False,True,True,False,False,False,Ch'ang,0
816,40,9,109003.26,1,1,1,79580.56,1,592,False,True,False,True,False,True,False,False,False,Folliero,0
692,43,10,118588.83,1,1,1,161241.65,5,443,False,True,False,True,False,True,False,False,False,West,1
756,34,1,103133.26,1,1,1,90059.04,4,527,True,False,False,False,True,False,False,False,True,Kang,0
501,42,9,114631.23,1,0,1,91429.74,4,450,True,False,False,False,True,False,False,False,True,Gordon,0
775,45,8,0.0,1,1,0,130376.68,4,805,True,False,False,False,True,True,False,False,False,Lucciano,0
648,40,5,139973.65,1,1,1,667.66,2,579,False,True,False,True,False,False,True,False,False,Anderson,1
660,28,1,118402.25,2,1,0,14288.93,1,965,False,True,False,False,True,False,False,True,False,Gibson,0
492,38,8,57068.43,2,1,0,188974.81,3,914,False,True,False,True,False,False,False,True,False,Calabresi,0
683,49,7,108797.63,2,0,0,140763.18,3,820,False,True,False,True,False,False,False,False,True,Barling,0
773,41,4,0.0,2,1,1,24924.92,2,667,True,False,False,False,True,False,False,True,False,Astorga,0
624,27,9,94667.29,2,0,1,4470.52,1,958,False,True,False,False,True,False,False,True,False,Knox,0
590,51,3,154962.99,3,0,1,191932.27,1,759,False,False,True,True,False,False,False,False,True,Lu,1
667,56,8,137464.04,1,1,0,130846.79,3,235,False,True,False,True,False,False,False,True,False,Manna,1
747,32,5,67495.04,2,0,1,77370.37,4,885,False,True,False,True,False,False,False,True,False,Demuth,0
671,42,3,0.0,2,1,1,128449.33,2,931,False,False,True,True,False,True,False,False,False,Swift,0
727,31,10,96997.09,2,0,0,76614.04,2,550,False,False,True,True,False,True,False,False,False,Shaw,0
803,40,6,165526.71,1,1,0,12328.08,3,880,True,False,False,True,False,False,False,False,True,Obiajulu,0
850,35,6,81684.97,1,1,0,824.0,5,576,True,False,False,True,False,False,False,False,True,Finch,0
714,26,9,89928.99,1,1,0,46203.31,5,675,True,False,False,True,False,True,False,False,False,Lassetter,0
766,44,3,116822.7,1,0,0,197643.24,1,544,False,True,False,False,True,False,False,True,False,Woodward,0
805,24,6,143221.35,2,1,0,186035.72,5,545,False,True,False,False,True,True,False,False,False,Repina,0
665,63,7,104469.58,1,1,1,25165.36,2,941,False,True,False,False,True,False,False,True,False,Zakharov,1
601,48,8,120782.7,1,1,0,63940.68,2,587,False,True,False,True,False,True,False,False,False,Cunningham,1
692,49,6,110540.43,2,0,1,107472.99,1,891,False,True,False,False,True,False,False,True,False,Rhodes,0
694,31,10,0.0,2,1,0,160990.27,3,673,True,False,False,True,False,False,False,False,True,Efremov,0
550,30,4,0.0,2,1,0,89216.29,3,484,True,False,False,True,False,False,True,False,False,Allen,0
715,31,7,0.0,1,1,1,149970.59,1,707,False,False,True,False,True,False,False,True,False,Peppin,0
496,32,4,127845.83,1,1,0,66469.2,4,512,True,False,False,False,True,False,False,False,True,Endrizzi,0
669,30,7,139872.81,1,1,0,188795.85,3,302,False,True,False,True,False,False,False,False,True,Campbell,0
708,64,5,0.0,3,0,1,112520.07,2,465,False,False,True,True,False,False,False,True,False,Fanucci,1
607,25,3,0.0,2,0,0,187048.72,3,624,True,False,False,False,True,True,False,False,False,Zhdanova,0
660,31,6,172325.67,1,0,1,45438.38,4,223,True,False,False,True,False,False,False,True,False,Donaldson,0
697,76,7,0.0,2,0,1,188772.45,3,733,True,False,False,True,False,True,False,False,False,Azikiwe,0
431,37,0,120764.08,1,1,1,117023.08,2,389,True,False,False,False,True,False,False,False,True,Suffolk,0
850,39,6,206014.94,2,0,1,42774.84,5,748,False,False,True,False,True,False,False,True,False,Ch'ang,1
533,35,8,0.0,2,1,1,187900.12,3,558,True,False,False,True,False,False,False,True,False,Azubuike,0
505,37,6,159863.9,2,0,1,125307.87,1,421,False,True,False,True,False,False,True,False,False,Fraser,0
641,37,7,0.0,2,1,0,75248.3,2,516,True,False,False,False,True,False,False,True,False,Moran,0
648,42,4,0.0,2,1,0,19283.14,2,759,True,False,False,False,True,False,True,False,False,Ignatyeva,0
779,29,3,46388.16,3,1,0,127939.26,3,922,True,False,False,True,False,True,False,False,False,Craig,1
583,27,4,0.0,3,1,0,163113.41,1,484,True,False,False,True,False,True,False,False,False,Rawling,0
640,43,9,94752.49,1,1,0,184006.36,4,523,False,True,False,True,False,True,False,False,False,Lindell,1
707,73,6,66573.17,1,1,1,62768.8,3,884,True,False,False,False,True,False,True,False,False,Felix,0
652,45,2,151421.44,1,0,1,115333.43,2,388,False,True,False,False,True,False,True,False,False,Malloy,0
724,40,6,110054.45,1,1,1,86950.72,2,680,True,False,False,True,False,False,False,False,True,Brown,0
758,35,7,0.0,2,1,0,77951.84,3,560,True,False,False,False,True,True,False,False,False,Ukaegbunam,0
580,44,9,143391.07,1,0,0,146891.07,4,567,False,True,False,False,True,False,True,False,False,Manning,1
586,60,3,47020.65,2,0,1,63241.21,3,850,True,False,False,True,False,False,False,True,False,Simpson,1
639,32,9,0.0,2,1,0,111340.36,4,846,True,False,False,False,True,False,True,False,False,Lucchese,0
749,38,9,129378.32,1,1,1,13549.34,4,633,False,False,True,False,True,True,False,False,False,Hughes,0
714,39,3,149887.49,2,1,0,63846.36,4,235,False,True,False,False,True,False,False,False,True,Chambers,0
644,31,5,86006.3,1,1,1,73922.95,2,274,False,False,True,True,False,False,False,False,True,Gorshkov,0
611,53,7,0.0,2,0,1,156495.39,1,843,True,False,False,True,False,False,True,False,False,McLachlan,1
743,45,10,144677.19,3,1,0,22512.44,3,471,False,True,False,False,True,False,True,False,False,Lopez,1
606,36,10,0.0,2,0,1,155641.46,2,813,True,False,False,True,False,False,False,False,True,Brookes,0
661,33,9,0.0,2,1,1,84174.81,2,873,True,False,False,False,True,True,False,False,False,Onwumelu,0
508,31,7,0.0,2,1,1,6123.15,4,573,True,False,False,True,False,False,True,False,False,Butusov,0
782,42,7,126428.38,1,1,0,39830.1,1,367,False,True,False,False,True,False,True,False,False,Chidimma,0
477,31,9,0.0,2,0,1,184061.17,1,295,False,False,True,False,True,False,False,False,True,Carter,0
583,27,1,125406.58,1,1,1,110784.42,1,992,True,False,False,True,False,False,False,True,False,Donaldson,0
612,32,9,106520.73,2,1,0,177092.16,3,821,False,True,False,False,True,False,True,False,False,Haworth,0
510,30,0,0.0,2,1,1,130553.47,2,430,True,False,False,True,False,True,False,False,False,Ho,0
540,39,1,0.0,1,0,1,108419.41,2,727,False,False,True,False,True,True,False,False,False,Goddard,0
624,55,7,118793.6,1,1,1,95022.02,4,503,True,False,False,False,True,True,False,False,False,L?,1
445,30,3,0.0,2,1,1,127939.19,2,842,True,False,False,True,False,False,False,True,False,Carpenter,0
688,26,1,0.0,2,1,1,104435.94,2,381,True,False,False,False,True,False,False,True,False,Outtrim,0
726,38,5,126875.62,1,1,0,128052.29,2,514,True,False,False,True,False,False,False,True,False,Clark,0
556,30,7,0.0,2,1,1,186648.19,3,356,True,False,False,True,False,False,True,False,False,Ochoa,0
814,31,6,87772.52,1,1,0,188516.45,3,870,True,False,False,True,False,False,False,False,True,Rapuokwu,0
564,33,4,135946.26,1,1,0,63170.0,3,696,True,False,False,True,False,True,False,False,False,Marchesi,0
802,41,5,0.0,2,1,1,134626.3,2,349,False,False,True,False,True,False,False,True,False,Chidubem,0
665,41,8,96147.55,1,1,0,137037.97,3,280,True,False,False,True,False,False,False,True,False,Matveyeva,0
781,29,6,98759.89,1,0,0,112202.64,2,494,False,False,True,True,False,False,True,False,False,Monds,0
808,45,7,118626.55,2,1,0,147132.46,1,559,True,False,False,False,True,False,False,False,True,Ritchie,0
733,39,5,91538.51,1,1,1,93783.0,3,336,False,True,False,False,True,False,False,True,False,Chibugo,0
802,37,9,115569.21,1,0,1,119782.89,1,927,False,True,False,False,True,False,True,False,False,Hung,0
560,44,5,143244.97,1,1,0,98661.27,5,768,True,False,False,True,False,True,False,False,False,Liu,0
649,39,3,113096.41,1,1,1,60335.24,5,946,True,False,False,False,True,False,False,True,False,Conti,0
582,26,4,65848.36,2,1,0,30149.21,1,518,False,False,True,False,True,False,False,False,True,Cran,0
680,32,7,175454.0,1,0,1,77349.92,2,772,False,True,False,False,True,False,False,True,False,Chibueze,0
519,57,2,119035.35,2,1,1,29871.79,3,689,False,False,True,True,False,False,False,False,True,Walton,0
740,37,5,0.0,2,1,1,27528.4,5,798,True,False,False,True,False,False,False,True,False,Kelechi,0
811,44,3,0.0,2,0,1,78439.73,5,859,False,False,True,False,True,False,False,True,False,Hunter,0
544,22,3,66483.32,1,0,1,110317.39,2,370,False,False,True,False,True,False,False,False,True,Holloway,0
651,36,8,0.0,2,1,0,91652.43,3,823,False,False,True,True,False,False,False,False,True,Yashina,0
805,26,2,0.0,2,1,1,25042.1,1,387,False,False,True,False,True,False,False,False,True,Iloerika,0
545,55,5,0.0,1,0,0,10034.77,5,524,True,False,False,True,False,True,False,False,False,Bronner,1
606,65,10,126306.64,3,0,0,7861.68,5,591,False,True,False,False,True,True,False,False,False,Milne,1
700,37,1,135179.49,1,1,0,160670.37,3,700,True,False,False,False,True,False,False,False,True,Yegorova,0
792,59,9,101609.77,1,0,0,161479.19,5,779,False,True,False,True,False,True,False,False,False,Chigolum,1
706,44,2,185932.18,2,1,0,65413.41,5,536,False,True,False,True,False,False,True,False,False,Willmore,0
686,39,4,0.0,2,1,0,155023.93,4,977,True,False,False,False,True,True,False,False,False,Nkemakonam,0
764,24,0,0.0,2,1,0,88724.49,3,470,True,False,False,True,False,False,True,False,False,Lujan,0
677,37,3,0.0,2,1,1,38252.25,3,654,True,False,False,True,False,False,False,True,False,Claypool,0
734,54,3,0.0,1,1,0,130805.54,4,505,True,False,False,True,False,False,False,False,True,Martin,1
518,46,3,0.0,2,1,0,76515.79,2,583,True,False,False,False,True,False,False,True,False,Potter,0
507,36,9,118214.32,3,1,0,119110.03,3,447,False,True,False,False,True,False,True,False,False,Trevisan,1
706,32,5,88348.43,2,1,1,104181.78,2,641,False,True,False,False,True,False,False,False,True,Gorshkov,0
652,35,7,104015.54,2,1,1,55207.88,1,926,False,True,False,False,True,False,False,True,False,Rivers,0
773,52,2,0.0,2,1,0,57337.79,5,607,False,False,True,False,True,False,False,True,False,Beneventi,0
765,36,8,92310.54,2,1,1,72924.56,3,547,False,True,False,False,True,True,False,False,False,Hale,0
427,33,8,0.0,1,1,1,13858.95,4,959,True,False,False,False,True,False,False,False,True,Valenzuela,0
545,45,6,93796.42,2,1,1,162321.26,3,577,False,True,False,False,True,False,True,False,False,Wong,0
711,41,3,145754.91,1,1,1,101455.07,3,244,True,False,False,True,False,False,False,True,False,Hunt,0
694,60,9,0.0,1,1,1,57088.97,4,647,True,False,False,False,True,False,True,False,False,Mahomed,0
535,48,9,0.0,1,1,0,149892.79,4,697,True,False,False,True,False,False,True,False,False,Alexeeva,1
644,26,4,153455.72,2,1,1,82696.84,5,944,False,False,True,True,False,False,False,True,False,Chimaijem,0
796,45,2,109730.22,1,1,1,123882.73,2,267,True,False,False,True,False,True,False,False,False,Chinagorom,0
608,27,4,153325.1,1,1,1,199953.33,3,778,False,False,True,False,True,False,False,False,True,Gannon,0
567,39,5,0.0,2,0,0,168521.72,3,709,True,False,False,False,True,False,True,False,False,Nebechi,0
796,41,8,107525.07,1,1,0,18510.41,2,606,False,False,True,False,True,False,False,False,True,Chandler,0
696,43,4,0.0,2,1,1,66406.37,4,678,False,False,True,True,False,True,False,False,False,Fleming,0
615,41,9,109013.23,1,1,0,196499.96,1,561,False,False,True,True,False,False,False,True,False,Robinson,0
648,23,9,168372.52,1,1,0,134676.72,4,883,True,False,False,False,True,True,False,False,False,Baresi,0
564,48,5,132876.23,1,1,0,79259.77,1,741,False,False,True,False,True,True,False,False,False,Hutchinson,0
715,21,6,76467.16,1,1,1,173511.72,4,995,True,False,False,False,True,False,True,False,False,Greenwalt,0
689,46,7,52016.08,2,1,1,72993.65,3,384,True,False,False,True,False,True,False,False,False,Kodilinyechukwu,0
660,33,0,72783.42,1,0,0,181051.99,1,553,True,False,False,False,True,False,False,True,False,Thompson,0
559,38,8,95139.41,1,1,1,86575.46,4,286,True,False,False,True,False,False,False,True,False,Chuang,0
678,22,4,174852.89,1,1,1,28149.06,3,333,True,False,False,True,False,False,False,True,False,Garran,0
621,59,2,0.0,2,1,1,171364.18,4,740,False,False,True,True,False,False,False,True,False,Wright,0
650,35,3,165982.43,2,1,1,24482.16,2,306,False,True,False,True,False,False,False,True,False,Aitken,0
534,35,4,0.0,2,0,0,9541.15,2,784,False,False,True,False,True,False,False,True,False,Buchi,0
529,39,2,82766.43,1,1,1,122925.44,3,574,False,False,True,True,False,False,True,False,False,Hsing,0
653,47,6,0.0,1,1,0,50695.93,2,622,True,False,False,False,True,False,False,False,True,Atkins,1
680,27,3,0.0,1,1,0,32454.26,3,875,True,False,False,False,True,True,False,False,False,Pitcher,0
542,59,2,68892.77,2,1,0,7905.06,5,442,True,False,False,True,False,True,False,False,False,He,1
707,48,8,88441.64,1,1,1,119903.2,2,244,False,False,True,False,True,True,False,False,False,Thornton,1
628,40,5,181768.32,2,1,1,129107.97,2,307,False,True,False,False,True,False,False,False,True,Doherty,0
